,108.956
1619,109.121
1620,109.063
1621,109.112
1622,109.094
1623,109.071
1624,109.092
1625,109.168
1626,109.149
1627,109.091
1628,109.096
1629,109.012
1630,109.078
1631,109.12
1632,109.087
1633,109.164
1634,109.132
1635,108.991
1636,109.122
1637,109.152
1638,109.115
1639,109.071
1640,108.946
1641,108.994
1642,109.096
1643,109.052
1644,109.055
1645,109.078
1646,109.105
1647,108.946
1648,108.966
1649,109.067
1650,109.054
1651,109.174
1652,109.16
1653,109.163
1654,109.069
1655,109.025
1656,109.083
1657,109.095
1658,109.129
1659,109.161
1660,109.122
1661,109.073
1662,109.155
1663,109.144
1664,109.101
1665,109.127
1666,109.103
1667,109.137
1668,109.139
1669,109.133
1670,109.128
1671,109.069
1672,109.129
1673,109.175
1674,109.148
1675,109.142
1676,109.132
1677,109.036
1678,108.894
1679,109.099
1680,109.035
1681,109.127
1682,109.078
1683,109.12
1684,109.18
1685,109.045
1686,109.128
1687,109.233
1688,109.22
1689,109.13
1690,109.011
1691,109.087
1692,109.092
1693,109.145
1694,109.109
1695,109.101
1696,109.121
1697,109.142
1698,109.17
1699,109.083
1700,109.163
1701,109.122
1702,109.002
1703,109.161
1704,109.091
1705,109.067
1706,109.169
1707,109.042
1708,109.146
1709,109.163
1710,109.114
1711,109.018
1712,109.148
1713,109.082
1714,109.143
1715,109.069
1716,109.111
1717,109.13
1718,109.05
1719,109.103
1720,109.099
1721,109.211
1723,109.137
1724,109.132
1725,109.135
1726,109.112
1727,109.093
1728,109.115
1729,109.107
1730,107.803
1731,109.14
1732,109.136
1733,109.115
1734,109.007
1735,109.044
1736,109.084
1737,109.195
1738,109.159
1739,109.104
1740,109.16
1741,109.08
1742,109.188
1743,109.135
1744,109.07
1745,109.094
1746,109.125
1747,109.041
1748,109.094
1749,109.06
1750,109.13
1751,109.102
1752,109.127
1753,109.093
1754,109.129
1755,109.16
1756,109.185
1757,109.101
1758,109.112
1760,109.111
1761,109.134
1762,109.23
1763,109.148
1764,109.148
1765,109.152
1766,109.13
1767,109.075
1768,109.085
1769,109.137
1770,109.093
1771,109.09
1772,109.189
1773,109.164
1774,109.185
1775,109.121
1776,109.157
1777,107.785
1778,109.174
1779,109.067
1780,109.186
1781,109.013
1782,109.028
1783,109.023
1784,109.041
1785,109.1
1786,109.205
1787,109.116
1788,109.079
1789,109.109
1790,109.064
1791,109.099
1792,109.03
1794,109.155
1795,109.174
1796,109.178
1797,109.075
1798,109.109
1799,109.085
1800,101.954
1801,109.168
1802,109.119
1803,109.109
1804,109.146
1805,109.188
1806,109.209
1807,106.644
1808,109.124
1809,109.036
1810,109.115
1811,109.091
1812,108.958
1813,109.138
1814,109.13
1815,109.106
1816,109.158
1817,105.782
1818,109.103
1819,109.06
1820,109.02
1821,109.101
1822,108.98
1823,109.177
1824,109.03
1825,109.016
1826,109.148
1827,108.896
1828,109.13
1829,109.077
1830,106.396
1831,109.181
1832,109.126
1833,109.043
1834,109.15
1835,109.094
1836,109.144
1837,109.01
1839,109.125
1841,109.054
1842,109.06
1843,109.056
1844,109.074
1845,109.167
1846,109.094
1847,109.15
1848,109.01
1849,109.114
1850,108.92
1851,109.077
1852,109.08
1853,109.175
1854,109.127
1855,109.168
1856,109.18
1857,109.204
1858,109.019
1859,109.008
1860,109.127
1861,109.053
1862,109.187
1863,109.1
1864,109.122
1865,109.117
1866,107.248
1867,109.113
1868,109.213
1869,109.12
1870,109.089
1871,109.112
1872,109.182
1873,109.111
1874,109.055
1875,109.133
1876,109.154
1877,109.105
1878,109.124
1879,109.054
1880,109.112
1881,109.156
1882,109.106
1883,109.186
1884,109.083
1885,109.123
1886,109.164
1887,109.126
1888,109.104
1889,109.184
1890,109.093
1891,109.136
1892,109.126
1893,109.09
1895,109.18
1896,109.124
1897,109.138
1898,109.15
1899,109.131
1900,109.054
1901,108.973
1902,109.125
1903,109.176
1904,109.075
1905,109.106
1906,109.152
1907,109.107
1908,109.017
1909,108.956
1910,108.993
1911,109.212
1912,109.113
1913,109.187
1914,109.133
1915,109.177
1916,109.084
1917,109.164
1918,109.146
1919,109.227
1920,109.115
1921,109.107
1922,109.197
1924,109.137
1925,109.071
1926,109.092
1927,109.159
1928,109.176
1929,107.277
1930,109.139
1931,109.069
1932,109.187
1933,109.055
1934,109.09
1935,109.138
1936,105.138
1937,109.175
1938,109.111
1939,109.115
1940,109.144
1941,109.136
1942,109.224
1943,109.179
1944,109.185
1945,109.095
1946,109.191
1947,109.164
1948,109.042
1949,109.08
1950,109.138
1951,109.041
1952,109.21
1953,109.031
1954,109.173
1955,109.168
1956,109.14
1957,109.123
1958,109.163
1959,109.137
1960,109.105
1961,109.169
1962,109.135
1963,109.102
1964,109.196
1965,109.217
1966,109.192
1967,109.12
1968,109.013
1969,109.181
1971,109.205
1972,109.175
1973,109.193
1974,109.198
1975,109.051
1976,109.247
1977,109.139
1978,109.156
1979,109.165
1980,109.101
1981,109.177
1982,109.181
1983,109.108
1984,109.051
1985,109.056
1986,109.025
1987,109.137
1988,109.151
1989,109.085
1990,106.476
1991,109.099
1992,109.189
1993,109.099
1994,109.186
1995,109.138
1996,109.125
1997,109.17
1998,109.043
1999,109.087
2000,109.187
2001,109.148
2002,109.245
2003,109.183
2004,109.102
2005,109.134
2006,106.304
2007,109.177
2008,109.151
2009,109.134
2010,109.121
2011,108.965
2012,109.126
2013,109.108
2014,109.215
2015,109.137
2016,109.137
2019,109.076
2020,109.181
2021,109.164
2022,109.188
2023,109.133
2024,109.168
2025,109.103
2026,109.184
2027,109.121
2028,109.079
2030,109.042
2031,109.157
2032,109.162
2033,109.088
2034,109.147
2035,109.147
2036,109.14
2037,109.147
2038,109.118
2039,109.135
2040,105.171
2041,109.121
2042,109.17
2043,109.164
2044,109.142
2045,109.14
2046,109.155
2047,109.118
2048,109.184
2049,109.198
2050,109.189
2051,109.119
2052,109.2
2053,109.121
2054,109.081
2055,109.174
2056,109.16
2057,109.06
2058,109.143
